CODIGO_ACTIVIDAD,ANIO,MES,CLASIFICADOR_ACTIVIDAD,CODIGO_ENTIDAD,ENTIDAD,PO_T1,HH_T1,RT_DN,VP,VV,ESTATUS
311,2013,	01,SS,	01,Aguascalientes,5617.000,1212.863,41246.000,1105819.000,1104538.000,Cifras definitivas
311,2013,	01,SS,	02,Baja California,7984.000,1697.060,76978.000,1243220.000,1229950.000,Cifras definitivas
311,2013,	01,SS,	04,Campeche,1298.000,301.280,14207.000,143159.000,91041.000,Cifras definitivas
311,2013,	01,SS,	05,Coahuila de Zaragoza,6360.000,1370.607,29094.000,1161626.000,1161608.000,Cifras definitivas
311,2013,	01,SS,	06,Colima,1915.000,464.663,9141.000,483008.000,414358.000,Cifras definitivas
311,2013,	01,SS,	07,Chiapas,5385.000,1157.726,39299.000,1120204.000,1070999.000,Cifras definitivas
311,2013,	01,SS,	08,Chihuahua,12442.000,2520.818,105821.000,1848746.000,1819893.000,Cifras definitivas
311,2013,	01,SS,	09,Ciudad de México,20572.000,4309.638,203714.000,5522423.000,5545949.000,Cifras definitivas
311,2013,	01,SS,	10,Durango,4572.000,960.080,11882.000,2084244.000,2076034.000,Cifras definitivas
311,2013,	01,SS,	11,Guanajuato,26403.000,5603.664,152213.000,4673307.000,4512632.000,Cifras definitivas
311,2013,	01,SS,	13,Hidalgo,6915.000,1382.025,80592.000,938650.000,938799.000,Cifras definitivas
311,2013,	01,SS,	14,Jalisco,44965.000,9750.600,458817.000,9725736.000,9192941.000,Cifras definitivas
311,2013,	01,SS,	15,México,49413.000,10296.482,602790.000,11576945.000,11417314.000,Cifras definitivas
311,2013,	01,SS,	16,Michoacán de Ocampo,10707.000,2261.776,75320.000,1925209.000,1706229.000,Cifras definitivas
311,2013,	01,SS,	17,Morelos,2202.000,517.231,28284.000,701932.000,811914.000,Cifras definitivas
311,2013,	01,SS,	18,Nayarit,2013.000,436.264,31907.000,504295.000,365430.000,Cifras definitivas
311,2013,	01,SS,	19,Nuevo León,34501.000,7253.544,263254.000,4841886.000,4829288.000,Cifras definitivas
311,2013,	01,SS,	20,Oaxaca,2609.000,569.433,38071.000,586715.000,371901.000,Cifras definitivas
311,2013,	01,SS,	21,Puebla,12956.000,2761.534,90991.000,2884363.000,3051434.000,Cifras definitivas
311,2013,	01,SS,	22,Querétaro de Arteaga,8045.000,1728.447,50491.000,2517867.000,2343712.000,Cifras definitivas
311,2013,	01,SS,	24,San Luis Potosí,10299.000,2218.300,108708.000,2007640.000,1610846.000,Cifras definitivas
311,2013,	01,SS,	25,Sinaloa,13776.000,2905.855,72281.000,2206442.000,2088501.000,Cifras definitivas
311,2013,	01,SS,	26,Sonora,13665.000,2891.852,57156.000,2471653.000,2477504.000,Cifras definitivas
311,2013,	01,SS,	27,Tabasco,2779.000,674.635,39432.000,463200.000,322447.000,Cifras definitivas
311,2013,	01,SS,	28,Tamaulipas,3914.000,895.976,46518.000,538094.000,473863.000,Cifras definitivas
311,2013,	01,SS,	29,Tlaxcala,3018.000,628.395,30800.000,395153.000,391950.000,Cifras definitivas
311,2013,	01,SS,	30,Veracruz de Ignacio de la Llave,25651.000,5855.654,329450.000,7592541.000,6166059.000,Cifras definitivas
311,2013,	01,SS,	31,Yucatán,7667.000,1600.869,40579.000,1874589.000,1854222.000,Cifras definitivas
311,2013,	01,SS,	32,Zacatecas,1807.000,356.158,9405.000,205062.000,201354.000,Cifras definitivas
312,2013,	01,SS,	01,Aguascalientes,1348.000,269.689,1543.000,271805.000,271807.000,Cifras definitivas
312,2013,	01,SS,	02,Baja California,4860.000,1022.664,59311.000,840373.000,841084.000,Cifras definitivas
312,2013,	01,SS,	05,Coahuila de Zaragoza,4146.000,859.000,46913.000,1109978.000,1090582.000,Cifras definitivas
312,2013,	01,SS,	07,Chiapas,1263.000,280.359,12998.000,71448.000,71482.000,Cifras definitivas
312,2013,	01,SS,	08,Chihuahua,4127.000,865.639,44855.000,404404.000,404301.000,Cifras definitivas
312,2013,	01,SS,	09,Ciudad de México,2908.000,676.526,53598.000,1710239.000,1710076.000,Cifras definitivas
312,2013,	01,SS,	11,Guanajuato,2309.000,508.208,17879.000,85918.000,85912.000,Cifras definitivas
312,2013,	01,SS,	13,Hidalgo,1271.000,259.852,8032.000,288176.000,288176.000,Cifras definitivas
312,2013,	01,SS,	14,Jalisco,13994.000,2876.939,99271.000,2802123.000,3322759.000,Cifras definitivas
312,2013,	01,SS,	15,México,9743.000,1994.520,44869.000,4635322.000,4570196.000,Cifras definitivas
312,2013,	01,SS,	16,Michoacán de Ocampo,1205.000,268.536,15604.000,82655.000,82588.000,Cifras definitivas
312,2013,	01,SS,	17,Morelos,483.000,103.525,6791.000,63981.000,63937.000,Cifras definitivas
312,2013,	01,SS,	18,Nayarit,1069.000,219.908,14358.000,75844.000,75772.000,Cifras definitivas
312,2013,	01,SS,	19,Nuevo León,6676.000,1386.667,62474.000,1639114.000,3457015.000,Cifras definitivas
312,2013,	01,SS,	20,Oaxaca,2009.000,417.735,34613.000,544826.000,544854.000,Cifras definitivas
312,2013,	01,SS,	21,Puebla,2142.000,467.906,6443.000,437489.000,437341.000,Cifras definitivas
312,2013,	01,SS,	22,Querétaro de Arteaga,1828.000,379.000,22104.000,502478.000,485749.000,Cifras definitivas
312,2013,	01,SS,	23,Quintana Roo,970.000,226.130,23081.000,238097.000,237682.000,Cifras definitivas
312,2013,	01,SS,	24,San Luis Potosí,650.000,140.255,3804.000,254580.000,252929.000,Cifras definitivas
312,2013,	01,SS,	25,Sinaloa,3112.000,663.746,40920.000,330664.000,331295.000,Cifras definitivas
312,2013,	01,SS,	26,Sonora,3276.000,704.338,35260.000,649443.000,649440.000,Cifras definitivas
312,2013,	01,SS,	27,Tabasco,1488.000,340.760,10530.000,91205.000,91131.000,Cifras definitivas
312,2013,	01,SS,	28,Tamaulipas,2264.000,472.757,32865.000,249683.000,248007.000,Cifras definitivas
312,2013,	01,SS,	30,Veracruz de Ignacio de la Llave,2529.000,542.606,17352.000,621061.000,616466.000,Cifras definitivas
312,2013,	01,SS,	31,Yucatán,1918.000,399.000,4035.000,620406.000,620073.000,Cifras definitivas
313,2013,	01,SS,	01,Aguascalientes,1193.000,232.000,3523.000,46593.000,45428.000,Cifras definitivas
313,2013,	01,SS,	09,Ciudad de México,4288.000,893.000,32083.000,364314.000,276992.000,Cifras definitivas
313,2013,	01,SS,	11,Guanajuato,2412.000,478.000,23721.000,242982.000,241709.000,Cifras definitivas
313,2013,	01,SS,	13,Hidalgo,8560.000,1606.000,51514.000,484137.000,494936.000,Cifras definitivas
313,2013,	01,SS,	14,Jalisco,1664.000,399.000,16687.000,74927.000,80422.000,Cifras definitivas
313,2013,	01,SS,	15,México,16668.000,3317.000,97365.000,932750.000,877255.000,Cifras definitivas
313,2013,	01,SS,	17,Morelos,1794.000,361.000,15165.000,31930.000,27462.000,Cifras definitivas
313,2013,	01,SS,	21,Puebla,12018.000,2251.000,75568.000,477305.000,494754.000,Cifras definitivas
313,2013,	01,SS,	24,San Luis Potosí,627.000,133.000,11417.000,159473.000,128755.000,Cifras definitivas
313,2013,	01,SS,	29,Tlaxcala,2853.000,553.000,26052.000,187540.000,199377.000,Cifras definitivas
313,2013,	01,SS,	31,Yucatán,335.000,77.000,1858.000,18693.000,18693.000,Cifras definitivas
314,2013,	01,SS,	02,Baja California,887.000,171.000,7166.000,,,Cifras definitivas
314,2013,	01,SS,	08,Chihuahua,772.000,120.000,,,,Cifras definitivas
314,2013,	01,SS,	09,Ciudad de México,1184.000,227.000,6645.000,80719.000,77448.000,Cifras definitivas
314,2013,	01,SS,	11,Guanajuato,1292.000,243.000,8195.000,111030.000,103758.000,Cifras definitivas
314,2013,	01,SS,	14,Jalisco,1066.000,219.000,7319.000,49281.000,49752.000,Cifras definitivas
314,2013,	01,SS,	15,México,3784.000,746.000,21502.000,214745.000,207964.000,Cifras definitivas
314,2013,	01,SS,	16,Michoacán de Ocampo,1904.000,421.000,12149.000,129470.000,133885.000,Cifras definitivas
314,2013,	01,SS,	19,Nuevo León,1829.000,372.000,10882.000,130086.000,129761.000,Cifras definitivas
314,2013,	01,SS,	21,Puebla,1948.000,397.000,11059.000,67874.000,72357.000,Cifras definitivas
314,2013,	01,SS,	22,Querétaro de Arteaga,487.000,80.000,3395.000,22392.000,22228.000,Cifras definitivas
314,2013,	01,SS,	24,San Luis Potosí,1024.000,223.000,4284.000,61629.000,61211.000,Cifras definitivas
314,2013,	01,SS,	26,Sonora,184.000,34.000,1075.000,,,Cifras definitivas
314,2013,	01,SS,	28,Tamaulipas,370.000,55.000,3211.000,,,Cifras definitivas
314,2013,	01,SS,	29,Tlaxcala,473.000,94.000,3020.000,6882.000,7026.000,Cifras definitivas
314,2013,	01,SS,	30,Veracruz de Ignacio de la Llave,761.000,164.000,3718.000,37707.000,37635.000,Cifras definitivas
314,2013,	01,SS,	31,Yucatán,769.000,155.000,5226.000,32913.000,27443.000,Cifras definitivas
315,2013,	01,SS,	01,Aguascalientes,8079.000,1625.000,56346.000,32695.000,24920.000,Cifras definitivas
315,2013,	01,SS,	02,Baja California,6420.000,1371.000,42481.000,,,Cifras definitivas
315,2013,	01,SS,	04,Campeche,6069.000,1128.000,35622.000,,,Cifras definitivas
315,2013,	01,SS,	05,Coahuila de Zaragoza,13477.000,2576.000,67575.000,3746.000,3689.000,Cifras definitivas
315,2013,	01,SS,	08,Chihuahua,4522.000,611.000,33522.000,,,Cifras definitivas
315,2013,	01,SS,	09,Ciudad de México,15169.000,2871.000,106540.000,953882.000,951503.000,Cifras definitivas
315,2013,	01,SS,	10,Durango,10938.000,2098.000,18223.000,16856.000,16856.000,Cifras definitivas
315,2013,	01,SS,	11,Guanajuato,4769.000,917.000,13711.000,109754.000,109183.000,Cifras definitivas
315,2013,	01,SS,	13,Hidalgo,9394.000,1686.000,46317.000,105791.000,110232.000,Cifras definitivas
315,2013,	01,SS,	14,Jalisco,3646.000,721.000,15957.000,58481.000,58133.000,Cifras definitivas
315,2013,	01,SS,	15,México,24101.000,4508.000,124455.000,1219670.000,1231913.000,Cifras definitivas
